frame,timestamp_sec,live_vehicles,pred_vehicles_5s,overspeeding_vehicles,lane_crossings,speed_variation,risk_score,pred_risk_score_5s
121,4.84,18,23,1,0,10.244,34.697,37.587
122,4.88,18,23,1,0,10.446,34.779,37.209
123,4.92,18,23,1,0,11.041,35.017,36.866
124,4.96,18,23,1,0,10.111,34.645,36.508
125,5.0,18,23,1,0,11.088,35.035,36.195
126,5.04,18,22,1,0,10.831,34.933,35.887
127,5.08,18,22,1,0,9.428,34.371,35.549
128,5.12,18,22,1,0,9.055,34.222,35.213
129,5.16,18,22,1,0,9.66,34.464,34.909
130,5.2,18,22,2,0,9.96,34.584,34.626
131,5.24,18,22,1,0,9.814,34.526,34.351
132,5.28,18,22,2,0,10.103,34.641,34.095
133,5.32,18,22,3,0,10.925,34.97,33.874
134,5.36,18,22,2,0,11.622,35.249,33.682
135,5.4,18,22,2,0,11.25,35.1,33.487
136,5.44,18,22,3,0,11.634,35.254,33.31
137,5.48,18,22,2,0,12.172,35.469,33.156
138,5.52,18,22,2,0,11.968,35.387,33.003
139,5.56,18,21,3,0,12.464,35.586,32.87
140,5.6,18,21,2,0,11.968,35.387,32.729
141,5.64,18,21,2,0,11.44,35.176,32.581
142,5.68,19,21,2,0,15.363,37.945,32.618
143,5.72,19,21,3,0,15.714,38.086,32.665
144,5.76,18,21,1,0,13.643,36.057,32.582
145,5.8,18,21,0,0,15.564,36.826,32.551
146,5.84,18,21,1,0,15.956,36.982,32.531
147,5.88,18,21,0,0,15.835,36.934,32.511
148,5.92,18,21,1,0,15.839,36.936,32.492
149,5.96,18,21,1,0,16.401,37.16,32.488
150,6.0,18,21,1,0,16.551,37.22,32.489
151,6.04,18,21,1,0,16.11,37.044,32.48
152,6.08,18,21,0,0,15.518,36.807,32.458
153,6.12,17,21,1,0,15.711,35.684,32.373
154,6.16,17,21,0,0,13.18,34.672,32.234
155,6.2,17,21,0,0,13.341,34.736,32.103
156,6.24,17,20,0,0,13.749,34.899,31.986
157,6.28,17,20,2,0,19.658,37.263,32.006
158,6.32,17,20,2,0,17.518,36.407,31.978
159,6.36,18,20,1,0,18.344,37.938,32.036
160,6.4,18,20,1,0,17.41,37.564,32.073
161,6.44,18,20,1,0,18.953,38.181,32.142
162,6.48,18,20,1,0,18.825,38.13,32.208
163,6.52,18,20,1,0,18.769,38.107,32.271
164,6.56,18,20,1,0,17.897,37.759,32.314
165,6.6,18,20,1,0,18.413,37.965,32.368
166,6.64,18,20,2,0,18.437,37.975,32.422
167,6.68,17,20,2,0,16.205,35.882,32.369
168,6.72,18,20,1,0,18.109,37.844,32.416
169,6.76,17,20,2,0,15.96,35.784,32.36
170,6.8,18,20,1,0,20.801,38.92,32.461
171,6.84,18,20,2,0,19.345,38.338,32.532
172,6.88,18,20,1,0,17.554,37.622,32.566
173,6.92,18,20,1,0,18.375,37.95,32.616
174,6.96,18,20,1,0,18.336,37.934,32.664
175,7.0,18,20,1,0,16.497,37.199,32.677
176,7.04,18,20,1,0,16.757,37.303,32.695
177,7.08,18,20,1,0,15.683,36.873,32.693
178,7.12,18,20,1,0,16.666,37.266,32.71
179,7.16,17,19,1,0,16.653,36.061,32.672
180,7.2,17,19,1,0,15.224,35.489,32.609
181,7.24,17,19,1,0,14.742,35.297,32.54
182,7.28,19,19,1,0,19.763,39.705,32.67
183,7.32,19,19,1,0,18.187,39.075,32.769
184,7.36,20,19,1,0,19.898,40.959,32.948
185,7.4,20,20,2,0,19.739,40.896,33.121
186,7.44,20,20,2,0,19.452,40.781,33.285
187,7.48,21,20,2,0,21.171,42.668,33.525
188,7.52,22,20,3,0,21.185,43.874,33.811
189,7.56,22,20,4,0,35.114,49.445,34.325
190,7.6,22,20,3,0,34.99,49.396,34.824
191,7.64,22,20,3,0,33.468,48.787,35.286
192,7.68,23,20,4,0,34.526,50.411,35.804
193,7.72,22,21,3,0,33.068,48.627,36.236
194,7.76,22,21,4,0,29.596,47.238,36.602
195,7.8,21,21,3,0,30.424,46.37,36.925
196,7.84,21,21,4,0,28.451,45.58,37.208
197,7.88,21,21,4,0,27.19,45.076,37.465
198,7.92,20,21,2,0,14.789,38.915,37.475
199,7.96,19,21,3,0,15.481,37.992,37.448
200,8.0,19,21,3,0,15.076,37.83,37.416
201,8.04,20,21,3,0,18.077,40.231,37.477
202,8.08,20,21,3,0,19.054,40.622,37.551
203,8.12,20,21,2,0,18.983,40.593,37.623
204,8.16,21,21,2,0,19.425,41.97,37.744
205,8.2,21,21,3,0,19.765,42.106,37.869
206,8.24,21,21,3,0,19.283,41.913,37.983
207,8.28,22,21,3,0,22.134,44.254,38.181
208,8.32,22,21,3,0,22.808,44.523,38.384
209,8.36,22,21,2,0,22.616,44.447,38.58
210,8.4,22,22,3,0,22.811,44.525,38.775
211,8.44,22,22,3,0,22.671,44.468,38.963
212,8.48,22,22,3,0,23.198,44.679,39.155
213,8.52,22,22,2,0,22.665,44.466,39.335
214,8.56,21,22,2,0,18.615,41.646,39.413
215,8.6,21,22,3,0,19.409,41.964,39.5
216,8.64,22,22,3,0,20.297,43.519,39.638
217,8.68,22,22,3,1,20.571,43.628,39.778
218,8.72,23,22,3,0,23.034,45.814,39.989
219,8.76,23,22,3,0,23.243,45.897,40.198
220,8.8,22,22,3,0,23.846,44.938,40.37
221,8.84,23,22,3,0,25.206,46.683,40.598
222,8.88,24,23,3,0,24.386,47.555,40.849
223,8.92,24,23,4,0,22.46,46.784,41.07
224,8.96,24,23,5,0,21.907,46.563,41.278
225,9.0,24,23,5,0,21.486,46.394,41.477
226,9.04,24,23,5,0,21.281,46.312,41.669
227,9.08,24,23,5,0,20.963,46.185,41.854
228,9.12,24,23,4,0,16.9,44.56,41.982
229,9.16,24,23,5,0,17.047,44.619,42.11
230,9.2,24,24,3,0,14.201,43.48,42.199
231,9.24,24,24,3,0,14.304,43.522,42.287
232,9.28,23,24,2,0,12.089,41.436,42.309
233,9.32,23,24,2,0,10.629,40.852,42.312
234,9.36,22,24,1,0,9.883,39.353,42.269
235,9.4,23,24,4,0,11.012,41.005,42.277
236,9.44,23,24,3,0,11.854,41.342,42.295
237,9.48,24,24,3,0,14.783,43.713,42.384
238,9.52,24,24,4,0,15.226,43.89,42.477
239,9.56,24,24,3,0,15.486,43.994,42.57
240,9.6,24,24,3,0,15.794,44.117,42.666
241,9.64,24,24,3,0,15.101,43.841,42.752
242,9.68,24,25,3,0,15.178,43.871,42.836
243,9.72,24,25,4,0,13.838,43.335,42.904
244,9.76,23,25,1,0,12.956,41.783,42.925
245,9.8,23,25,1,0,12.86,41.744,42.944
246,9.84,23,25,1,0,13.254,41.901,42.967
247,9.88,23,25,2,0,12.928,41.771,42.987
248,9.92,23,25,1,0,12.89,41.756,43.005
249,9.96,24,25,1,0,12.744,42.897,43.055
250,10.0,25,25,1,0,14.741,44.896,43.16
251,10.04,25,25,1,0,14.919,44.967,43.056
252,10.08,25,25,1,0,14.473,44.789,42.943
253,10.12,25,25,1,0,14.162,44.665,42.849
254,10.16,24,26,1,0,14.646,43.658,42.723
255,10.2,26,26,2,0,17.593,47.237,42.694
256,10.24,25,26,1,0,18.362,46.345,42.661
257,10.28,24,26,1,0,15.786,44.114,42.563
258,10.32,24,26,2,0,15.682,44.073,42.461
259,10.36,26,26,2,0,18.971,47.788,42.437
260,10.4,26,26,1,0,19.219,47.888,42.411
261,10.44,26,26,1,0,19.361,47.944,42.384
262,10.48,25,27,1,0,15.914,45.365,42.256
263,10.52,26,27,1,0,15.068,46.227,42.587
264,10.56,25,27,1,0,15.619,45.247,42.924
265,10.6,24,27,1,0,15.411,43.964,43.162
266,10.64,23,27,1,0,16.834,43.334,43.331
267,10.68,24,27,1,0,16.082,44.233,43.522
268,10.72,23,27,1,0,16.655,43.262,43.689
269,10.76,23,27,0,0,11.482,41.193,43.799
270,10.8,24,27,1,0,16.825,44.53,44.042
271,10.84,24,27,0,0,13.609,43.244,44.275
272,10.88,26,27,1,0,17.055,47.022,44.611
273,10.92,26,27,1,0,17.252,47.101,44.923
274,10.96,26,27,1,0,18.336,47.534,45.264
275,11.0,25,28,1,0,17.379,45.951,45.535
276,11.04,25,28,1,0,17.396,45.958,45.807
277,11.08,25,28,1,0,17.459,45.984,46.063
278,11.12,24,28,0,0,13.669,43.268,46.255
279,11.16,25,28,0,0,13.71,44.484,46.457
280,11.2,24,28,0,0,14.054,43.422,46.636
281,11.24,23,28,0,0,13.857,42.143,46.768
282,11.28,22,28,0,0,14.289,41.116,46.857
283,11.32,24,28,0,0,14.167,43.467,47.015
284,11.36,23,28,0,0,14.077,42.231,47.136
285,11.4,23,28,1,0,14.502,42.401,47.263
286,11.44,23,28,1,0,12.21,41.484,47.351
287,11.48,24,28,1,0,14.764,43.706,47.496
288,11.52,25,28,2,0,14.218,44.687,47.656
289,11.56,25,28,1,0,14.55,44.82,47.833
290,11.6,24,28,1,0,11.556,42.422,47.933
291,11.64,25,28,1,0,11.086,43.434,48.057
292,11.68,24,28,1,0,11.475,42.39,48.136
293,11.72,23,28,2,0,13.178,41.871,48.236
294,11.76,23,28,2,0,12.818,41.727,48.314
295,11.8,24,28,1,0,14.668,43.667,48.416
296,11.84,22,28,1,0,12.968,40.587,48.424
297,11.88,23,28,1,0,12.235,41.494,48.453
298,11.92,23,28,1,0,12.377,41.551,48.483
299,11.96,23,28,1,0,12.308,41.523,48.504
300,12.0,22,28,1,0,7.932,38.573,48.435
301,12.04,22,28,0,0,8.236,38.694,48.37
302,12.08,21,28,0,0,8.711,37.684,48.275
303,12.12,20,28,0,0,7.551,36.021,48.133
304,12.16,20,28,0,0,7.191,35.876,47.98
305,12.2,21,28,0,0,7.697,37.279,47.831
306,12.24,22,28,0,0,7.746,38.499,47.763
307,12.28,21,28,0,0,7.617,37.247,47.647
308,12.32,21,27,1,0,8.314,37.526,47.589
309,12.36,21,27,1,0,8.496,37.598,47.523
310,12.4,20,27,0,0,7.73,36.092,47.395
311,12.44,20,27,1,0,8.217,36.287,47.255
312,12.48,21,27,1,0,12.565,39.226,47.221
313,12.52,22,27,0,0,14.948,41.379,47.235
314,12.56,22,27,1,0,15.169,41.468,47.294
315,12.6,22,27,1,0,16.987,42.195,47.363
316,12.64,22,27,3,0,22.977,44.591,47.502
317,12.68,21,27,2,0,21.816,42.926,47.587
318,12.72,21,27,3,0,20.285,42.314,47.642
319,12.76,21,27,2,0,19.091,41.837,47.69
320,12.8,22,27,2,0,20.68,43.672,47.774
321,12.84,22,27,3,0,20.949,43.78,47.856
322,12.88,21,27,1,0,20.237,42.295,47.892
323,12.92,21,27,3,0,20.056,42.223,47.921
324,12.96,22,27,3,0,16.955,42.182,47.956
325,13.0,21,27,2,0,17.627,41.251,47.96
326,13.04,22,27,3,0,18.952,42.981,48.017
327,13.08,22,27,3,0,18.174,42.67,48.052
328,13.12,22,27,4,0,18.002,42.601,48.076
329,13.16,21,27,2,0,18.872,41.749,48.068
330,13.2,22,27,3,0,17.207,42.283,48.035
331,13.24,22,27,3,0,17.203,42.281,48.044
332,13.28,21,27,3,0,14.892,40.157,47.941
333,13.32,21,27,4,0,15.546,40.418,47.849
334,13.36,21,27,4,0,15.73,40.492,47.75
335,13.4,21,27,3,0,15.66,40.464,47.7
336,13.44,21,27,2,0,15.292,40.317,47.593
337,13.48,21,27,2,0,9.695,38.078,47.449
338,13.52,21,26,0,0,9.206,37.882,47.296
339,13.56,22,26,0,0,12.935,40.574,47.217
340,13.6,22,26,0,0,12.763,40.505,47.103
341,13.64,21,26,1,0,11.168,38.667,46.937
342,13.68,22,26,1,0,11.449,39.98,46.805
343,13.72,21,26,2,0,11.559,38.824,46.634
344,13.76,21,26,2,0,12.159,39.064,46.448
345,13.8,21,26,2,0,11.286,38.714,46.253
346,13.84,21,26,2,0,12.053,39.021,46.105
347,13.88,21,26,2,0,11.601,38.84,45.909
348,13.92,21,26,4,0,12.295,39.118,45.798
349,13.96,20,26,1,0,9.996,36.998,45.627
350,14.0,20,26,3,0,10.157,37.063,45.481
351,14.04,20,26,2,0,10.054,37.022,45.288
352,14.08,20,26,2,0,10.2,37.08,45.098
353,14.12,20,25,1,0,9.525,36.81,44.919
354,14.16,20,25,2,0,11.09,37.436,44.757
355,14.2,21,25,4,0,14.554,40.022,44.726
356,14.24,22,25,5,0,15.4,41.56,44.783
357,14.28,23,25,5,0,17.66,43.664,44.858
358,14.32,22,25,4,0,15.785,41.714,44.862
359,14.36,21,25,3,0,16.682,40.873,44.911
360,14.4,20,25,3,0,16.711,39.684,44.928
361,14.44,19,25,3,0,16.49,38.396,44.895
362,14.48,19,25,3,1,16.682,38.473,44.866
363,14.52,20,25,3,0,16.843,39.737,44.87
364,14.56,18,25,3,0,17.413,37.565,44.791
365,14.6,19,25,4,0,18.659,39.264,44.758
366,14.64,19,25,4,0,19.186,39.475,44.731
367,14.68,19,25,4,0,19.539,39.616,44.691
368,14.72,18,25,3,0,18.362,37.945,44.609
369,14.76,21,25,4,1,21.003,42.601,44.574
370,14.8,20,25,3,0,18.963,40.585,44.445
371,14.84,20,24,3,0,18.657,40.463,44.31
372,14.88,21,24,4,0,18.611,41.644,44.208
373,14.92,21,24,4,0,20.337,42.335,44.129
374,14.96,21,24,3,0,20.546,42.418,44.044
375,15.0,20,24,4,0,21.6,41.64,43.943
376,15.04,21,24,5,0,21.268,42.707,43.869
377,15.08,19,24,3,0,19.102,39.441,43.691
378,15.12,19,24,2,0,19.049,39.42,43.508
379,15.16,19,24,2,0,16.731,38.492,43.303
380,15.2,21,24,2,0,19.405,41.962,43.197
381,15.24,21,24,3,0,18.672,41.669,43.08
382,15.28,21,23,4,0,15.593,40.437,42.929
383,15.32,20,23,3,0,14.615,38.846,42.74
384,15.36,21,23,2,0,17.831,41.333,42.625
385,15.4,21,23,3,0,18.078,41.431,42.508
386,15.44,20,23,3,0,14.934,38.974,42.325
387,15.48,22,23,4,0,19.689,43.276,42.265
388,15.52,21,23,2,0,16.557,40.823,42.134
389,15.56,21,23,2,0,16.887,40.955,42.009
390,15.6,22,23,3,0,18.45,42.78,41.931
391,15.64,23,23,3,0,19.881,44.552,41.896
392,15.68,23,23,3,0,20.188,44.675,41.919
393,15.72,23,23,3,0,20.014,44.605,41.941
394,15.76,24,23,3,0,21.499,46.4,41.972
395,15.8,26,23,5,0,26.08,50.632,42.134
396,15.84,27,23,5,0,26.709,52.083,42.337
397,15.88,26,23,4,0,22.102,49.041,42.451
398,15.92,26,23,4,0,22.183,49.073,42.564
399,15.96,25,23,4,0,23.076,48.23,42.655
400,16.0,26,23,4,0,23.148,49.459,42.78
401,16.04,24,23,4,0,23.0,47.0,42.831
402,16.08,25,23,4,0,23.479,48.391,42.913
403,16.12,25,23,4,0,22.631,48.052,42.961
404,16.16,25,23,4,0,22.645,48.058,42.987
405,16.2,26,23,4,0,23.308,49.523,43.052
406,16.24,27,23,4,0,23.305,50.722,43.151
407,16.28,27,23,4,0,21.042,49.817,43.27
408,16.32,26,23,4,0,20.665,48.466,43.331
409,16.36,26,23,4,0,30.928,52.571,43.535
410,16.4,26,23,4,0,30.114,52.246,43.72
411,16.44,26,23,4,0,29.31,51.924,43.905
412,16.48,23,23,2,0,18.099,43.84,43.861
413,16.52,25,23,5,0,16.193,45.477,43.861
414,16.56,26,23,5,0,14.046,45.818,43.862
415,16.6,25,23,2,0,24.939,48.976,43.954
416,16.64,24,23,3,0,25.84,48.136,44.021
417,16.68,24,23,5,0,23.775,47.31,44.02
418,16.72,24,23,5,0,23.266,47.106,44.051
419,16.76,25,23,5,0,22.518,48.007,44.064
420,16.8,25,23,4,0,23.379,48.352,44.148
421,16.84,25,23,5,0,22.091,47.836,44.203
422,16.88,24,23,3,0,22.954,46.982,44.218
423,16.92,25,23,4,0,23.159,48.264,44.274
424,16.96,26,23,4,0,22.276,49.11,44.352
425,17.0,25,23,4,0,21.554,47.622,44.37
426,17.04,25,23,4,0,21.406,47.562,44.387
427,17.08,27,23,4,0,22.737,50.495,44.476
428,17.12,26,23,4,0,23.794,49.718,44.548
429,17.16,26,23,5,0,24.338,49.935,44.599
430,17.2,26,23,5,0,23.354,49.542,44.626
431,17.24,26,23,5,0,23.491,49.596,44.647
432,17.28,27,23,6,0,22.856,50.542,44.781
433,17.32,27,23,6,0,21.182,49.873,44.881
434,17.36,29,23,4,0,23.552,53.221,45.111
435,17.4,28,23,5,0,22.612,51.645,45.293
436,17.44,27,23,5,0,19.463,49.185,45.402
437,17.48,27,24,4,0,19.427,49.171,45.546
438,17.52,27,24,5,0,20.036,49.414,45.721
439,17.56,27,24,5,0,18.621,48.848,45.991
440,17.6,28,24,5,0,20.236,50.694,46.312
441,17.64,27,24,6,0,19.401,49.16,46.577
442,17.68,27,24,6,0,18.017,48.607,46.86
443,17.72,27,24,6,0,18.468,48.787,47.112
444,17.76,28,24,7,0,20.751,50.9,47.395
445,17.8,27,24,6,0,20.497,49.599,47.624
446,17.84,27,24,5,0,17.994,48.598,47.808
447,17.88,27,25,5,0,18.044,48.617,47.981
448,17.92,28,25,5,0,17.824,49.729,48.061
449,17.96,27,25,4,0,16.837,48.135,48.076
450,18.0,27,25,4,0,16.977,48.191,48.088
451,18.04,27,25,4,0,17.233,48.293,48.148
452,18.08,27,25,6,0,17.08,48.232,48.213
453,18.12,27,25,6,0,17.445,48.378,48.28
454,18.16,27,25,6,0,17.802,48.521,48.377
455,18.2,24,25,5,0,16.665,44.466,48.363
456,18.24,24,25,5,0,15.878,44.151,48.335
457,18.28,24,25,4,0,14.061,43.424,48.334
458,18.32,24,25,5,0,14.325,43.53,48.341
459,18.36,25,25,5,0,13.623,44.449,48.373
460,18.4,26,25,5,0,15.981,46.593,48.466
461,18.44,25,25,4,0,15.532,45.213,48.519
462,18.48,25,25,5,0,15.548,45.219,48.576
463,18.52,25,25,5,0,15.44,45.176,48.628
464,18.56,27,25,4,0,17.648,48.459,48.714
465,18.6,27,25,4,0,17.664,48.466,48.806
466,18.64,27,25,4,0,16.984,48.194,48.92
467,18.68,26,25,4,0,16.976,46.99,49.002
468,18.72,27,25,4,0,18.906,48.962,49.182
469,18.76,27,25,5,0,19.058,49.023,49.366
470,18.8,26,25,5,0,19.005,47.802,49.495
471,18.84,25,25,5,0,18.72,46.488,49.622
472,18.88,26,26,5,0,19.116,47.846,49.804
473,18.92,26,26,5,0,19.09,47.836,49.971
474,18.96,26,26,4,0,18.539,47.616,50.127
475,19.0,26,26,4,0,18.074,47.43,50.274
476,19.04,26,26,4,0,15.947,46.579,50.395
477,19.08,26,26,4,0,15.417,46.367,50.508
478,19.12,25,26,4,0,15.357,45.143,50.554
479,19.16,24,26,4,0,15.287,43.915,50.567
480,19.2,24,26,5,0,12.717,42.887,50.528
481,19.24,24,26,3,0,12.154,42.661,50.484
482,19.28,24,26,4,0,12.603,42.841,50.403
483,19.32,24,26,3,0,12.095,42.638,50.304
484,19.36,24,26,3,0,12.432,42.773,50.178
485,19.4,23,26,3,1,11.609,41.244,50.043
486,19.44,23,26,3,0,11.299,41.119,49.91
487,19.48,23,26,2,0,11.792,41.317,49.831
488,19.52,23,26,4,0,11.648,41.259,49.755
489,19.56,23,26,3,0,11.603,41.241,49.68
490,19.6,23,26,2,0,11.643,41.257,49.609
491,19.64,22,26,3,0,12.359,40.343,49.507
492,19.68,22,26,3,0,11.899,40.16,49.402
493,19.72,22,26,2,0,11.71,40.084,49.284
494,19.76,23,26,2,1,11.692,41.277,49.169
495,19.8,23,26,3,0,12.257,41.503,49.06
496,19.84,21,26,2,0,12.266,39.107,48.887
497,19.88,21,26,2,0,12.416,39.167,48.713
498,19.92,21,26,4,0,13.141,39.456,48.548
499,19.96,22,26,3,0,15.108,41.443,48.461
500,20.0,21,26,3,0,15.697,40.479,48.389
501,20.04,22,26,4,0,16.014,41.806,48.355
502,20.08,22,26,3,0,16.053,41.821,48.32
503,20.12,22,26,3,0,15.75,41.7,48.278
504,20.16,22,25,3,0,15.973,41.789,48.22
505,20.2,22,25,3,0,15.831,41.733,48.232
506,20.24,22,25,3,0,16.114,41.846,48.231
507,20.28,22,25,3,0,15.781,41.713,48.182
508,20.32,23,25,4,0,16.026,43.011,48.169
509,20.36,23,26,4,0,16.468,43.187,48.236
510,20.4,22,26,3,0,15.977,41.791,48.266
511,20.44,22,26,3,0,13.878,40.951,48.276
512,20.48,21,26,2,0,12.032,39.013,48.181
513,20.52,21,25,3,0,12.183,39.073,48.106
514,20.56,22,25,4,0,13.936,40.974,48.065
515,20.6,23,26,3,0,15.796,42.918,48.055
516,20.64,22,25,4,0,13.81,40.924,47.975
517,20.68,22,25,4,0,13.732,40.893,47.914
518,20.72,22,25,4,0,13.737,40.895,47.834
519,20.76,22,25,4,0,13.346,40.738,47.708
520,20.8,22,25,4,0,13.633,40.853,47.652
521,20.84,22,25,4,0,13.231,40.693,47.567
522,20.88,22,25,4,0,14.055,41.022,47.568
523,20.92,24,25,4,0,18.117,45.047,47.684
524,20.96,23,25,4,0,17.033,43.413,47.763
525,21.0,23,26,4,0,16.307,43.123,47.804
526,21.04,23,26,4,0,16.055,43.022,47.842
527,21.08,24,26,4,0,18.253,45.101,47.939
528,21.12,24,26,4,0,18.581,45.232,47.985
529,21.16,24,26,4,0,18.933,45.373,48.06
530,21.2,24,26,4,0,18.646,45.258,48.11
